company_mart.name,company_mart.deleted_week,company_mart.registration_week,company_mart.account_type
deleted_Apotheke Am Markt,2020-08-31,2019-04-08,Buyer
deleted_Chemprof,2020-08-31,2019-04-08,Buyer
deleted_Dr Constant,2020-08-31,2019-04-08,Buyer
deleted_Elite Upvc,2020-08-31,2019-04-08,Buyer
deleted_Else,2020-08-31,2019-04-08,Buyer
deleted_Paoshi,2020-08-31,2019-04-08,Buyer
deleted_Private,2020-08-31,2019-04-08,Buyer
deleted_Sc Laba Srl,2020-08-31,2019-04-08,Buyer
deleted_Uni Göttingen,2020-08-31,2019-04-08,Buyer
deleted_Xebia,2020-08-31,2019-04-08,Buyer
deleted_Zick,2020-08-31,2019-04-08,Buyer
Petrico Ltd,,2019-04-08,Buyer
"Nmc, Dept. Of Applied Physics, Aalto Univ.",,2019-04-08,Buyer
Igm Resins Italia Srl,,2019-04-08,Buyer
Henkel,,2019-04-08,Buyer
Forellen-Abel Gmbh,,2019-04-08,Buyer
"Fibroforma, De Luis Sousa Cruz",,2019-04-08,Buyer
Consorzio Innovo,,2019-04-08,Buyer
Chemical Partners Africa,,2019-04-08,Buyer
Bomix Chemie Gmbh,,2019-04-08,Buyer
Balthemis,,2019-04-08,Buyer
Andrews & Wykeham Ltd,,2019-04-08,Buyer
Bayer-Wood Technologies Ltd,,2019-04-15,Buyer
Aztec Distribution Sp.Zo.O.,,2019-04-15,Buyer
deleted_Tungsten R&D Consulting,2020-08-31,2019-04-15,Buyer
deleted_Spectrachem Specialties,2020-08-31,2019-04-15,Buyer
