,company,in_trial,has_signed_up,company_top_500_product_count,company_top_500_request_count,total_substance_request_count_based_on_company_substances,total_substance_offers_count_based_on_company_substances,avg_requests_per_product,market_share_requests,market_request_to_offer_cr,Product Density Score,Requests Density Score,Match Count
187,Barcelonesa De Drogas Y Productos Quimicos,No,No,17,0,7322,1550,0,0.0,0.21,0.3333333333333333,131.77777777777777,6.0
188,IMPAG AG,No,Yes,322,98,7315,1259,0,0.01,0.17,0.06220095693779904,28.229665071770334,13.0
189,Molkem Chemicals Pvt. Ltd,No,No,1049,151,7295,1763,0,0.02,0.22,0.0071633237822349575,2.511461318051576,5.0
190,Chemical Technologies SIA,No,No,253,954,7269,1488,4,0.13,0.2,0.13043478260869565,61.52173913043478,3.0
191,GOLDEN WAY İNTERNATİONAL İTHALAT İHRACAT VE İŞDANIŞMANLIĞI LİMİTED ŞİRKETİ,No,No,9,112,7262,1984,12,0.02,0.27,0.5,255.4,5.0
192,BG AGROCHEM COMPANY LIMITED,Yes,No,23,28,7173,2634,1,0.0,0.37,0.19047619047619047,110.33333333333333,4.0
193,Lebon,No,No,32,47,7147,2068,1,0.01,0.29,0.38461538461538464,208.6153846153846,5.0
194,Chemische Fabrik Wocklum Gebr. Hertin GmbH & Co. KG,No,No,29,61,7094,1769,2,0.01,0.25,0.5,220.9,5.0
195,Novasol Chemicals,No,Yes,71,133,7035,1512,2,0.02,0.21,0.058823529411764705,21.33823529411765,4.0
196,Distona AG,No,Yes,59,84,6981,1648,1,0.01,0.24,0.10638297872340426,41.808510638297875,5.0
197,IMPAG Import GmbH,No,No,109,250,6981,1163,2,0.04,0.16,0.018518518518518517,5.7407407407407405,2.0
198,Krada CPS Industry S.L.,No,No,29,0,6797,1753,0,0.0,0.26,0.10344827586206896,57.03448275862069,3.0
199,NOVA GROUP ENDÜSTRİ KİMYA İTHALAT İHRACAT SAN. TİC. LTD. ŞTİ.,Yes,No,5,0,6790,2199,0,0.0,0.32,0.8333333333333334,458.6666666666667,5.0
200,4CR International GmbH & CO KG,No,No,293,155,6747,1134,1,0.02,0.17,0.11428571428571428,37.82857142857143,4.0
201,Pentagon chemicals,No,No,20,174,6643,1783,9,0.03,0.27,0.1875,103.8125,3.0
202,TEHNO-CHEM DOO,No,No,15,62,6635,1787,4,0.01,0.27,0.26666666666666666,136.86666666666667,4.0
203,Greyhound Chromatography and Allied Chemicals Ltd,No,No,50,320,6586,1544,6,0.05,0.23,0.4166666666666667,177.16666666666666,5.0
204,TER Chemicals – BU Life Science,No,No,62,83,6559,1373,1,0.01,0.21,0.06382978723404255,27.78723404255319,6.0
205,Yeğenler Kimya,No,No,14,64,6479,1450,5,0.01,0.22,0.36363636363636365,141.27272727272728,4.0
