,company,in_trial,has_signed_up,company_top_500_product_count,company_top_500_request_count,total_substance_request_count_based_on_company_substances,total_substance_offers_count_based_on_company_substances,avg_requests_per_product,market_share_requests,market_request_to_offer_cr,Product Density Score,Requests Density Score,Match Count
711,CSR Plastic,No,No,1,8,485,76,8,0.02,0.16,0.0,0.0,0.0
712,"Polymer Loop, S.L.",No,No,1,14,485,76,14,0.03,0.16,0.0,0.0,0.0
713,Borealis AG,No,No,5,38,485,76,8,0.08,0.16,0.0,0.0,0.0
714,"SILON, s.r.o.",No,No,2,0,485,76,0,0.0,0.16,0.3333333333333333,128.66666666666666,1.0
715,HSH Chemie GmbH,No,No,2,2,485,76,1,0.0,0.16,0.5,193.0,1.0
716,NCT Group,No,No,1,10,485,76,10,0.02,0.16,0.0,0.0,0.0
717,Oceanize As,No,No,1,12,485,76,12,0.02,0.16,0.0,0.0,0.0
718,R-PLASTIND ROCN SRL,No,No,14,3,485,76,0,0.01,0.16,0.0,0.0,0.0
719,Rhett Plastic,No,No,1,0,485,76,0,0.0,0.16,0.0,0.0,0.0
720,Acorn Water,No,No,6,13,481,168,2,0.03,0.35,0.0,0.0,0.0
721,SK Steel & Powder Supply UG,No,No,13,10,459,93,1,0.02,0.2,0.0,0.0,0.0
722,Blue Bear Chemicals Bv,No,No,6,17,457,86,3,0.04,0.19,0.0,0.0,0.0
723,Marubeni,No,No,5,20,456,133,4,0.04,0.29,0.0,0.0,0.0
724,Lehmann&Voss&Co. Kg,No,No,14,22,453,101,2,0.05,0.22,0.0,0.0,0.0
725,Barton Blakeley Technologies,No,No,8,8,453,48,1,0.02,0.11,0.0,0.0,0.0
726,Rashtriya Chemical and Minerals,No,No,5,19,448,76,4,0.04,0.17,0.0,0.0,0.0
727,Wistema GmbH,No,No,9,19,441,101,2,0.04,0.23,0.0,0.0,0.0
728,"Hubei Cheezheng Energy Development Co.,L",No,No,1,0,434,74,0,0.0,0.17,0.0,0.0,0.0
729,TRIGON Chemie,No,No,30,31,427,74,1,0.07,0.16,0.0,0.0,0.0
730,ma.gi.co. srl,No,No,9,52,426,61,6,0.12,0.14,0.0,0.0,0.0
731,UAB “Paraffinum”,No,Yes,10,42,424,125,4,0.1,0.29,0.0,0.0,0.0
732,888 Raw Plastic Supplies,No,No,4,0,419,58,0,0.0,0.14,0.0,0.0,0.0
733,ALTIN ATES KIMYA ANONIM SIRKETI,No,No,2,1,419,58,1,0.0,0.14,0.0,0.0,0.0
734,Foscote Group,No,No,1,0,405,68,0,0.0,0.17,0.0,0.0,0.0
735,SKALNI MATERIALI,No,No,2,12,405,77,6,0.03,0.19,0.0,0.0,0.0
736,Ecochem International NV,No,No,5,17,400,86,3,0.04,0.21,0.0,0.0,0.0
737,Wacker Chemie AG,No,No,6,24,399,80,4,0.06,0.2,0.0,0.0,0.0
738,Feralco Deutschland Gmbh,No,No,7,25,396,147,4,0.06,0.37,0.0,0.0,0.0
739,DERIVADOS DEL FLUOR SAU,No,No,37,18,392,58,0,0.05,0.14,0.0,0.0,0.0
740,Waldis UAB,No,No,2,12,390,90,6,0.03,0.23,0.0,0.0,0.0
741,Feicheng Hongrui Fine Chemicals Material Manufacturer,No,No,3,0,386,145,0,0.0,0.37,0.0,0.0,0.0
742,YAPICHEM CHEMICAL COMPANY,No,No,5,2,384,58,0,0.01,0.15,0.0,0.0,0.0
743,euronopa GmbH,No,No,2,5,383,43,3,0.01,0.11,0.0,0.0,0.0
744,SENORGALAB CHEMISTRY AND R D SERVICES LTD,No,No,7,3,381,65,0,0.01,0.17,0.0,0.0,0.0
745,Ferro Duo,Yes,No,4,1,372,78,0,0.0,0.21,0.0,0.0,0.0
746,TER Chemicals – BU Surface and Lubricant Technology,No,No,29,20,364,53,1,0.05,0.14,0.0,0.0,0.0
747,ASCOTEC,No,No,1,0,363,74,0,0.0,0.2,0.0,0.0,0.0
748,Derkim Kimya A.S,No,No,2,14,355,137,7,0.04,0.39,0.0,0.0,0.0
749,Perstorp Group,No,No,27,28,353,44,1,0.08,0.12,0.0,0.0,0.0
750,Chemtech Speciality India Pvt Ltd,No,No,8,0,348,53,0,0.0,0.15,0.0,0.0,0.0
751,RENTECH,No,No,1,0,348,53,0,0.0,0.15,0.0,0.0,0.0
752,CABAMIX,No,No,3,21,348,53,7,0.06,0.15,0.0,0.0,0.0
753,ACS Chem GmbH,No,No,1,0,348,53,0,0.0,0.15,0.0,0.0,0.0
754,Avni Uzun,No,No,1,0,348,53,0,0.0,0.15,0.0,0.0,0.0
755,ALT TRADING,No,No,2,0,348,53,0,0.0,0.15,0.0,0.0,0.0
756,VAC minerais,No,No,13,30,348,53,2,0.09,0.15,0.0,0.0,0.0
757,InMotion Global Ltd,No,No,3,7,348,53,2,0.02,0.15,0.0,0.0,0.0
758,Bulterra S Ltd.,No,No,6,7,348,53,1,0.02,0.15,0.0,0.0,0.0
759,TERRAZO DE MEXICO,No,No,2,7,348,53,4,0.02,0.15,0.0,0.0,0.0
760,AQUATONALE,No,No,5,0,348,53,0,0.0,0.15,0.0,0.0,0.0
761,MM INDUSTRIES,No,No,1,0,348,53,0,0.0,0.15,0.0,0.0,0.0
762,Cyberwize Turkey,No,No,1,0,348,53,0,0.0,0.15,0.0,0.0,0.0
763,PROVENÇALE SA,No,No,1,6,348,53,6,0.02,0.15,0.0,0.0,0.0
764,"GRANULADOS TÉCNICOS SOSTENIBLES, S.L.",No,No,1,0,348,53,0,0.0,0.15,0.0,0.0,0.0
765,SEABERT CHEMICALS PVT LTD,No,No,1,0,348,53,0,0.0,0.15,0.0,0.0,0.0
766,turkmen sehrah,No,No,1,0,348,53,0,0.0,0.15,0.0,0.0,0.0
767,Ella grup inşaat gayrimenkul iç ve dış ticaret,No,No,1,0,348,53,0,0.0,0.15,0.0,0.0,0.0
768,ROWASOL GmbH,No,No,4,7,344,60,2,0.02,0.17,0.0,0.0,0.0
769,PJSC Pigment,No,No,1,24,341,201,24,0.07,0.59,0.0,0.0,0.0
770,Pyrex Industries GmbH,No,No,3,6,341,201,2,0.02,0.59,0.0,0.0,0.0
771,FRA.MIC. SRL,No,No,7,22,341,57,3,0.06,0.17,0.0,0.0,0.0
772,BEYAZ KAGIT VE HIJYENIK URUNLER TEMIZLIK INSAAT SAN. TIC. A.S.,No,No,2,30,330,99,15,0.09,0.3,0.0,0.0,0.0
773,"G&C Colors, S.A.",No,No,12,10,328,40,1,0.03,0.12,0.0,0.0,0.0
774,GUJARAT MULTI GAS BASE CHEMICALS PVT. LTD.,No,No,3,9,326,31,3,0.03,0.09,0.0,0.0,0.0
775,TETRA Chemicals Europe AB,No,No,6,23,322,74,4,0.07,0.23,0.0,0.0,0.0
776,Chemispec,No,No,10,10,320,37,1,0.03,0.11,0.0,0.0,0.0
777,Emery Oleochemicals,No,No,10,30,317,66,3,0.09,0.2,0.0,0.0,0.0
778,Chem-Pros Net,No,No,8,37,316,32,5,0.12,0.1,0.0,0.0,0.0
779,JSC Karpov Chemical Plant,No,No,17,12,312,74,1,0.04,0.24,0.0,0.0,0.0
780,MINERALCOMERS AD,No,No,4,14,307,36,4,0.05,0.12,0.0,0.0,0.0
781,Massa Petroleum,No,Yes,4,16,306,27,4,0.05,0.09,0.0,0.0,0.0
782,prefere paraform GmbH & Co. KG,No,No,19,19,306,44,1,0.06,0.14,0.0,0.0,0.0
783,Arkema THIO Division,No,No,11,15,304,58,1,0.05,0.19,0.0,0.0,0.0
784,Chirag Enterprise,No,No,2,17,304,85,9,0.06,0.28,0.0,0.0,0.0
785,Viktor Flach,No,No,2,0,299,42,0,0.0,0.14,0.0,0.0,0.0
786,Syntharo Fine Chemicals GmbH,No,Yes,7,1,299,42,0,0.0,0.14,0.0,0.0,0.0
787,CAD Chemicals,No,No,2,0,296,52,0,0.0,0.18,0.0,0.0,0.0
788,Telko Ukraine,No,No,2,5,296,66,3,0.02,0.22,0.0,0.0,0.0
789,UPL Ltd,No,No,23,56,295,27,2,0.19,0.09,0.0,0.0,0.0
790,Sino-Aluminas Ltd,No,No,24,68,292,20,3,0.23,0.07,0.0,0.0,0.0
791,Biesterfeld Chemia Specjalna,No,No,3,0,289,33,0,0.0,0.11,0.0,0.0,0.0
792,Evonik,Yes,No,3,15,289,33,5,0.05,0.11,0.2,73.2,1.0
793,C&G Pigment Europe GmbH,No,No,16,17,288,35,1,0.06,0.12,0.0,0.0,0.0
794,Europigments SL,No,No,2,2,288,35,1,0.01,0.12,0.0,0.0,0.0
795,SIOF SPA,Yes,No,6,6,287,43,1,0.02,0.15,0.0,0.0,0.0
796,Atul Limited,No,No,21,17,281,38,1,0.06,0.13,0.0,0.0,0.0
797,SRC International Ulus. Loj. Dış Tic. Ltd. Şti,No,No,1,0,280,49,0,0.0,0.18,0.0,0.0,0.0
798,SINTEZA SA,No,No,1,10,280,49,10,0.04,0.18,0.0,0.0,0.0
799,BELHIMSET JSC,No,No,3,0,280,69,0,0.0,0.25,0.0,0.0,0.0
800,Agrichem Innovation Inc,No,No,3,0,276,52,0,0.0,0.19,0.0,0.0,0.0
801,Kneho-Lacke GmbH,Yes,No,5,1,273,50,0,0.0,0.18,0.0,0.0,0.0
802,PALMYRA PLASTIK SANAYI VE DIS TICARET LTD,No,No,1,0,273,119,0,0.0,0.44,0.0,0.0,0.0
803,Wanhua & BorsodChem,No,No,4,16,268,38,4,0.06,0.14,0.0,0.0,0.0
804,Areks Kimya Otomativ Sanayii ve Dış Ticaret A.Ş,No,Yes,5,24,268,38,5,0.09,0.14,0.0,0.0,0.0
805,Chematek,No,No,16,23,266,50,1,0.09,0.18,0.0,0.0,0.0
806,Fornaci Zulian srl,No,No,6,2,266,48,0,0.01,0.18,0.0,0.0,0.0
807,Polygal AG,No,No,85,23,265,34,0,0.09,0.13,0.0,0.0,0.0
808,CONSELLS CHEMICALS SP. Z O. O.,No,No,1,7,264,49,7,0.03,0.19,0.0,0.0,0.0
809,IFTIKHAR PLASTIC & COMPANY UK LTD,No,No,1,1,264,49,1,0.0,0.19,0.0,0.0,0.0
810,Kchimica S.R.L,No,No,11,14,263,45,1,0.05,0.16,0.0,0.0,0.0
811,KEMAT,No,No,86,44,262,62,1,0.17,0.23,0.0,0.0,0.0
812,J. Rettenmaier & Söhne GmbH + Co. KG,No,Yes,44,83,261,47,2,0.32,0.18,0.0,0.0,0.0
813,Arabian Sea Group For Chemicals,No,No,5,6,260,30,1,0.02,0.12,0.0,0.0,0.0
814,PT. DUA KUDA INDONESIA,No,No,3,0,259,50,0,0.0,0.19,0.0,0.0,0.0
815,NUCLEUS KIMYA,No,No,2,4,255,54,2,0.02,0.21,0.0,0.0,0.0
816,CALDIC FRANCE,No,No,3,13,250,133,4,0.05,0.53,0.0,0.0,0.0
817,KORUMA KLOR ALKALI SAN.VE TIC. A.S,No,No,1,2,250,133,2,0.01,0.53,0.0,0.0,0.0
818,CHIMI ART,No,No,1,0,250,133,0,0.0,0.53,0.0,0.0,0.0
819,Integrated Chemicals Specialties BV,No,No,7,25,250,40,4,0.1,0.16,0.0,0.0,0.0
820,Century Limited,No,No,1,0,249,46,0,0.0,0.18,0.0,0.0,0.0
821,Alumina doo,No,No,15,35,244,24,2,0.14,0.1,0.0,0.0,0.0
822,Coftech GmbH,No,No,11,32,243,38,3,0.13,0.15,0.0,0.0,0.0
823,Shandong Fuyang  Bio-tech. Co.Ltd.,No,No,2,0,238,85,0,0.0,0.36,0.0,0.0,0.0
824,ANV Trader,No,No,6,28,237,39,5,0.12,0.16,0.0,0.0,0.0
825,Remet UK LTD,No,No,1,13,233,56,13,0.06,0.24,0.0,0.0,0.0
826,CITIBLUE INTERNATIONAL SRL,No,No,1,0,233,56,0,0.0,0.24,0.0,0.0,0.0
827,Viaton Europe GmbH,No,No,1,10,233,34,10,0.04,0.15,0.0,0.0,0.0
828,Adobaser Mining Co,No,No,1,3,233,34,3,0.01,0.15,0.0,0.0,0.0
829,Atalimo SA,No,No,1,0,233,34,0,0.0,0.15,0.0,0.0,0.0
830,Völpker Spezialprodukte GmbH,No,Yes,21,14,233,56,1,0.06,0.23,0.0,0.0,0.0
831,DW OIL Trading GmbH,No,No,3,18,233,56,6,0.08,0.24,0.0,0.0,0.0
832,Individual businessman,No,No,2,0,232,30,0,0.0,0.13,0.0,0.0,0.0
833,REG Chemicals Ltd,No,No,7,30,230,47,4,0.13,0.2,0.0,0.0,0.0
834,Keminntek Laboratories,No,No,32,0,230,28,0,0.0,0.11,0.0,0.0,0.0
835,"Medir Ferrer y CIA, S.A.",No,No,1,5,229,86,5,0.02,0.38,0.0,0.0,0.0
836,Petrobonco,No,No,1,0,229,86,0,0.0,0.38,0.0,0.0,0.0
837,Kuraray Europe GmbH,No,No,113,48,229,86,0,0.21,0.38,0.0,0.0,0.0
838,Petrobon,No,No,1,0,229,86,0,0.0,0.38,0.0,0.0,0.0
839,YUKA KİMYA,No,No,7,9,225,35,1,0.04,0.15,0.0,0.0,0.0
840,"BYN Chemical Co., Ltd.",No,No,1,0,224,32,0,0.0,0.14,0.0,0.0,0.0
841,Pro-Eko Srl,No,No,7,23,224,32,3,0.1,0.14,0.0,0.0,0.0
842,Hope Chemical Trading Kimya ltd,No,No,1,0,223,19,0,0.0,0.09,0.0,0.0,0.0
843,"KETONG GROUP CO.,LTD",No,No,2,0,223,33,0,0.0,0.15,0.0,0.0,0.0
844,Sternchemie GmbH & Co KG,No,No,1,0,223,19,0,0.0,0.09,0.0,0.0,0.0
845,Sonic Biochem Extractions Pvt. Ltd.,No,No,5,8,223,19,2,0.04,0.09,0.0,0.0,0.0
846,Honey Sugar Product,No,No,1,0,223,33,0,0.0,0.15,0.0,0.0,0.0
847,Agrifeed SRL,No,No,1,4,223,49,4,0.02,0.22,0.0,0.0,0.0
848,Aditya Soyatech,No,No,2,18,223,19,9,0.08,0.09,0.0,0.0,0.0
849,KARUPOEG PUHH OÜ,No,No,1,0,220,66,0,0.0,0.3,0.0,0.0,0.0
850,Golchha PIGMENTS,No,No,1,0,219,20,0,0.0,0.09,0.0,0.0,0.0
851,"Hubei Sanli Fengxiang Technology Co., Ltd",No,No,1,0,219,20,0,0.0,0.09,0.0,0.0,0.0
852,Astron Chemicals,No,No,1,0,219,20,0,0.0,0.09,0.0,0.0,0.0
853,hyroxtech.uzb,No,No,1,0,219,20,0,0.0,0.09,0.0,0.0,0.0
854,California Chemical Lab,No,No,1,0,219,20,0,0.0,0.09,0.0,0.0,0.0
855,California Chemical Lab,No,No,1,0,219,20,0,0.0,0.09,0.0,0.0,0.0
856,"NAM PHONG INDUSTRY CO., LTD",No,No,1,3,219,20,3,0.01,0.09,0.0,0.0,0.0
857,Keeling & Walker Ltd.,No,No,7,1,219,7,0,0.0,0.03,0.0,0.0,0.0
858,BiogasJG B.V.,No,No,5,0,219,20,0,0.0,0.09,0.0,0.0,0.0
859,Ako Chemicals Ltd,No,No,1,0,219,20,0,0.0,0.09,0.0,0.0,0.0
860,NEXMOL S.R.L.,No,No,1,0,219,20,0,0.0,0.09,0.0,0.0,0.0
861,LKAB Minerals B.V.,No,No,5,5,218,12,1,0.02,0.05,0.0,0.0,0.0
862,Anstar Ltd,Yes,No,40,45,213,43,1,0.21,0.18,0.0,0.0,0.0
863,KEM,No,No,1,0,213,38,0,0.0,0.18,0.0,0.0,0.0
864,Marine Engineering Technology SLP,No,No,1,0,213,38,0,0.0,0.18,0.0,0.0,0.0
865,Arion-Prom,No,No,1,6,213,38,6,0.03,0.18,0.0,0.0,0.0
866,Impex Solutions LLC,No,No,1,0,213,38,0,0.0,0.18,0.0,0.0,0.0
867,White Wing International,No,No,1,0,213,38,0,0.0,0.18,0.0,0.0,0.0
868,World Petroleum FZC,No,No,2,14,213,38,7,0.07,0.18,0.0,0.0,0.0
869,NORDIX CHEMICALS FACTORY d.o.o.,No,No,1,0,211,36,0,0.0,0.17,0.0,0.0,0.0
870,UNICALCE SPA,Yes,No,3,0,209,24,0,0.0,0.11,0.0,0.0,0.0
871,Birch Chemicals Limited,No,No,10,9,209,24,1,0.04,0.11,0.0,0.0,0.0
872,BERKIM KAUCUK PLASTIK KIMYA SAN VE TIC AS,No,No,7,17,207,14,2,0.08,0.07,0.0,0.0,0.0
873,Purinova Sp. Z.o.o.,No,No,3,1,207,24,0,0.0,0.11,0.0,0.0,0.0
874,EBA Kimya,No,No,1,0,205,37,0,0.0,0.18,0.0,0.0,0.0
875,Saha Metal San. Tic. Ltd. Şti.,No,No,1,9,201,32,9,0.04,0.16,0.0,0.0,0.0
876,Nanoxo sp.z o.o.,No,No,2,2,201,32,1,0.01,0.16,0.0,0.0,0.0
877,Harzer Zinkoxide GmbH,No,No,4,2,201,32,1,0.01,0.16,0.0,0.0,0.0
878,legitimamente,No,No,1,0,201,32,0,0.0,0.16,0.0,0.0,0.0
879,ZINCO Chelyabinsk Ltd.,No,No,6,11,201,32,2,0.05,0.16,0.0,0.0,0.0
880,Catalyco,No,No,1,0,201,32,0,0.0,0.16,0.0,0.0,0.0
881,ALDODEI 1946 di Giacomo Bertolio D.I.,No,No,3,13,201,32,4,0.06,0.16,0.0,0.0,0.0
882,Gastrim Europe Ltd,No,No,1,7,201,32,7,0.03,0.16,0.0,0.0,0.0
883,ALUCOM AG,No,Yes,15,20,200,16,1,0.1,0.08,0.0,0.0,0.0
884,SINCHEM EUROPE SAS,Yes,No,1,5,200,17,5,0.03,0.09,0.0,0.0,0.0
885,Triconor Distribution GmbH,No,No,3,1,200,17,0,0.01,0.09,0.0,0.0,0.0
886,NATURAL POLAND Sp. z o.o.,No,No,4,0,200,58,0,0.0,0.29,0.0,0.0,0.0
887,Alufluor AB,No,No,2,1,200,17,1,0.01,0.08,0.0,0.0,0.0
888,Asilpax International b.v.,No,No,7,5,200,17,1,0.03,0.09,0.0,0.0,0.0
889,Arihant Micron,No,No,1,0,200,17,0,0.0,0.09,0.0,0.0,0.0
890,"Hubei New Desheng material Technology Co., Ltd.",No,No,6,0,198,41,0,0.0,0.2,0.0,0.0,0.0
891,NANOGRAPHENEX NANOTECHNOLOGY LTD,No,No,4,0,196,31,0,0.0,0.16,0.0,0.0,0.0
892,Chemiphase International Ltd,No,No,1,0,191,42,0,0.0,0.22,0.0,0.0,0.0
893,Ruchak chemicals,No,No,1,0,191,96,0,0.0,0.5,0.0,0.0,0.0
894,Sunsmit Dyechem Pvt Ltd,No,No,1,3,191,42,3,0.02,0.22,0.0,0.0,0.0
895,Hermes Mineral Ltd,No,No,2,7,189,58,4,0.04,0.31,0.0,0.0,0.0
896,San Nature,No,No,1,6,189,58,6,0.03,0.31,0.0,0.0,0.0
897,AUGUST INVEST SP Z O O,Yes,No,1,0,189,16,0,0.0,0.08,0.0,0.0,0.0
898,Nickelhütte Aue GmbH,Yes,No,7,4,188,49,1,0.02,0.26,0.14285714285714285,52.285714285714285,1.0
899,bitop AG,No,Yes,7,0,187,43,0,0.0,0.23,0.0,0.0,0.0
900,MADKIM MADEN VE KIMYA SAN. VE TİC. LTD. STI.,No,No,7,9,187,55,1,0.05,0.29,0.0,0.0,0.0
901,Erlon Sp. z o.o. sk.,No,No,1,8,186,21,8,0.04,0.11,0.0,0.0,0.0
902,KH Boddin GmbH,Yes,No,8,1,185,29,0,0.01,0.15,0.0,0.0,0.0
903,escom GmbH,No,No,4,4,179,56,1,0.02,0.31,0.0,0.0,0.0
904,Gamma Chimica Spa,No,No,5,13,176,28,3,0.07,0.16,0.0,0.0,0.0
905,Global Company s.r.l.,No,No,1,2,174,21,2,0.01,0.12,0.0,0.0,0.0
906,"Zaporizhzhia Abrasive Plant, PJSC",Yes,No,2,1,174,10,1,0.01,0.06,0.0,0.0,0.0
907,Fam International NV,No,No,6,10,174,21,2,0.06,0.12,0.0,0.0,0.0
908,AEM Canada Group Inc,No,No,2,0,174,10,0,0.0,0.06,0.0,0.0,0.0
909,Illumine Consultants (Chemicals | Performance Materials),No,No,12,3,174,21,0,0.02,0.12,0.0,0.0,0.0
910,Dev International,No,No,10,0,171,6,0,0.0,0.03,0.0,0.0,0.0
911,RV NEORESINS,No,No,2,14,170,15,7,0.08,0.09,0.0,0.0,0.0
912,SOFTARED,No,No,1,0,169,22,0,0.0,0.13,0.0,0.0,0.0
913,"Wuhan Lwax Pharma Tech Co., LTD",No,No,1,0,169,22,0,0.0,0.13,0.0,0.0,0.0
914,"LLC ""UMKA Company""",No,No,1,0,168,32,0,0.0,0.19,0.0,0.0,0.0
915,Horus Oil Wholesalers,No,No,5,0,168,2,0,0.0,0.01,0.0,0.0,0.0
916,Wetraoil GmbH,No,No,12,11,168,2,1,0.07,0.01,0.0,0.0,0.0
917,Atex Est OÜ,No,No,1,0,168,32,0,0.0,0.19,0.0,0.0,0.0
918,NITROPARIS,No,No,1,0,168,32,0,0.0,0.19,0.0,0.0,0.0
919,Utelka Maden,No,No,1,0,167,52,0,0.0,0.31,0.0,0.0,0.0
920,Stephan Schmidt KG,No,No,2,22,167,52,11,0.13,0.31,0.0,0.0,0.0
921,"Shanxi Hengyuan Kaolin Co., Ltd.",No,No,1,0,167,52,0,0.0,0.31,0.0,0.0,0.0
922,AMEKON S.A.,No,No,1,1,165,30,1,0.01,0.18,0.0,0.0,0.0
923,Volzhsky Orgsynthese JSC,No,No,5,5,165,30,1,0.03,0.18,0.0,0.0,0.0
924,"Shandong Fuyang Biotechnology Co.,ltd",No,No,1,0,163,77,0,0.0,0.47,0.0,0.0,0.0
925,M/s. Pacific Texchem Pvt Ltd,No,No,5,18,162,36,4,0.11,0.22,0.0,0.0,0.0
926,DM Baltic,Yes,No,1,0,161,46,0,0.0,0.29,0.0,0.0,0.0
927,ULIX Innovation,No,No,1,0,161,46,0,0.0,0.29,0.0,0.0,0.0
928,"Guangdong CHNV Technology Co.,",No,No,3,0,160,25,0,0.0,0.16,0.0,0.0,0.0
929,Wintzell & Fried,No,No,7,33,156,27,5,0.21,0.17,0.0,0.0,0.0
930,Nimaco Chemicals,No,No,1,9,155,9,9,0.06,0.06,0.0,0.0,0.0
931,Radix Conia Makina Techizat Otomotiv Gida Ith. Ihr. San. Tic. LTD. STI,No,No,2,6,155,9,3,0.04,0.06,0.0,0.0,0.0
932,FIBB sistemi d.o.o.,No,No,1,7,155,9,7,0.05,0.06,0.0,0.0,0.0
933,Chempoint Emea,No,No,1,5,155,56,5,0.03,0.36,0.0,0.0,0.0
934,Goonvean Fibres Ltd,No,No,4,9,155,9,2,0.06,0.06,0.0,0.0,0.0
935,Nuh Kompozit AS,No,No,1,0,155,9,0,0.0,0.06,0.0,0.0,0.0
936,INFINIUM PHARMACHEM LIMITED,No,No,192,50,154,48,0,0.32,0.15,0.0,0.0,0.0
937,UDO Mining,No,No,1,3,153,26,3,0.02,0.17,0.0,0.0,0.0
938,"MINERALS RESOURCES - DEVELOPMENT, S.A.",No,No,22,64,153,26,3,0.42,0.17,0.0,0.0,0.0
939,russian resurs,No,No,1,0,153,26,0,0.0,0.17,0.0,0.0,0.0
940,amg dış tic. ltd.şti.,No,No,1,0,153,26,0,0.0,0.17,0.0,0.0,0.0
941,HSH-Chemie Serbia,No,No,2,4,151,79,2,0.03,0.52,0.0,0.0,0.0
942,megasack inc,No,No,1,0,150,11,0,0.0,0.07,0.0,0.0,0.0
943,StarTradeEst OU,Yes,No,3,0,149,29,0,0.0,0.19,0.0,0.0,0.0
944,"Industrias Quimicas PMC, SL",No,No,1,5,147,21,5,0.03,0.14,0.0,0.0,0.0
945,Simmi Enterprises,No,No,1,0,146,34,0,0.0,0.23,0.0,0.0,0.0
946,Prasol Chemicals Limited.,No,No,6,8,146,26,1,0.05,0.17,0.0,0.0,0.0
947,Dutch Essentials BV,No,No,5,13,144,28,3,0.09,0.19,0.0,0.0,0.0
948,"Suzhou Youzhihe Medical Science and Technology Co., Ltd.",No,No,98,0,142,20,0,0.0,0.08,0.0,0.0,0.0
949,Laboratorios Argenol SL,No,No,16,28,141,33,2,0.2,0.22,0.0,0.0,0.0
950,"SPOLCHEMIE - Spolek pro chemickou a hutní výrobu, a.s.",No,No,4,11,140,13,3,0.08,0.09,0.0,0.0,0.0
951,Craft Resin Limited,No,No,4,6,140,13,2,0.04,0.09,0.0,0.0,0.0
952,Arcanum Chemical & Consultancy,No,No,1,0,137,57,0,0.0,0.42,0.0,0.0,0.0
953,Richard Steinebach Chemikalien GmbH & Co. KG,No,No,5,16,132,9,3,0.12,0.07,0.0,0.0,0.0
954,Asal Boya Kimya San. Tic Ltd Sti,No,No,42,99,129,29,2,0.77,0.22,0.0,0.0,0.0
955,SP ENTERPRISES,No,No,3,5,128,36,2,0.04,0.28,0.0,0.0,0.0
956,Lithos Natural GmbH,No,No,2,17,126,14,9,0.13,0.11,0.0,0.0,0.0
957,Zeolites Production,No,No,2,21,126,14,11,0.17,0.11,0.0,0.0,0.0
958,Kazfert,No,No,1,0,126,8,0,0.0,0.06,0.0,0.0,0.0
959,CJSC Kvitny,No,No,1,0,126,8,0,0.0,0.06,0.0,0.0,0.0
960,FYN GLOBAL,No,No,1,0,126,14,0,0.0,0.11,0.0,0.0,0.0
961,YARA GmbH&Co.KG,Yes,No,2,0,126,8,0,0.0,0.06,0.0,0.0,0.0
962,Nitramonia BC SRL,No,No,1,1,126,8,1,0.01,0.06,0.0,0.0,0.0
963,Bernd Stifter,No,No,1,0,126,14,0,0.0,0.11,0.0,0.0,0.0
964,Kvitny,No,No,1,0,126,8,0,0.0,0.06,0.0,0.0,0.0
965,BARCHEMICALS s.r.l,No,No,2,18,123,11,9,0.15,0.09,0.0,0.0,0.0
966,JAL AQUA INTERNATIONAL,No,No,1,0,123,11,0,0.0,0.09,0.0,0.0,0.0
967,ATTIKA,No,No,4,13,122,17,3,0.11,0.14,0.0,0.0,0.0
968,Slovškrob a.s.,Yes,No,3,1,119,44,0,0.01,0.37,0.0,0.0,0.0
969,Narsipur Chemicals Pvt ltd,No,No,7,18,119,37,3,0.15,0.31,0.0,0.0,0.0
970,Atic Kimya,No,No,1,14,119,18,14,0.12,0.15,0.0,0.0,0.0
971,AAGlob S.A.,No,No,1,0,119,18,0,0.0,0.15,0.0,0.0,0.0
972,FlyKimya Boya,No,No,3,4,118,12,1,0.03,0.1,0.0,0.0,0.0
973,CFI Wood,Yes,No,1,0,117,6,0,0.0,0.05,0.0,0.0,0.0
974,SIAD S.p.A.,Yes,No,8,22,117,8,3,0.19,0.06,0.0,0.0,0.0
975,Moonpet Petrol Insaat Sanayi Ticaret Anonim Sirketi,No,No,1,0,117,6,0,0.0,0.05,0.0,0.0,0.0
976,Dogal Destek Urunleri Arastırma San. ve Tic. A.S.,No,No,25,11,116,28,0,0.09,0.2,0.0,0.0,0.0
977,Firewater ltd,No,No,1,0,116,4,0,0.0,0.03,0.0,0.0,0.0
978,NEXUS Kimya,No,No,1,9,116,15,9,0.08,0.13,0.0,0.0,0.0
979,"RAW MATERIALS CELLULOSE,",No,No,11,0,114,18,0,0.0,0.16,0.0,0.0,0.0
980,Amster Microcell Pvt Ltd,No,No,1,0,114,18,0,0.0,0.16,0.0,0.0,0.0
981,PT Van Aroma,No,No,80,18,114,27,0,0.16,0.17,0.0,0.0,0.0
982,"shijiazhuang jinghong chemical technology co.,ltd.",No,No,1,0,113,26,0,0.0,0.23,0.0,0.0,0.0
983,"Chonqing Lihao chemistry tech co.,ltd.",No,No,1,0,113,26,0,0.0,0.23,0.0,0.0,0.0
984,"Jinan maissen new material co.,ltd",No,No,1,0,113,26,0,0.0,0.23,0.0,0.0,0.0
985,Denkim Denizli Kimya A.Ş.,No,No,2,12,112,16,6,0.11,0.14,0.0,0.0,0.0
986,PREMIFAB d.o.o.,No,No,1,0,110,13,0,0.0,0.12,0.0,0.0,0.0
