#,company_name,substance_name,cas_number,company_id
5437,"Zhejiang ZETian Fine Chemicals Co.,Ltd",N-Boc-3-Hydroxypiperidine,85275-45-2,17191
5438,"Zhejiang ZETian Fine Chemicals Co.,Ltd",N-Boc-3-Pyrrolidinone,101385-93-7,17191
5439,"Zhejiang ZETian Fine Chemicals Co.,Ltd",N-Boc-Hexahydro-5-Oxocyclopenta[C]Pyrrole,148404-28-8,17191
5440,"Zhejiang ZETian Fine Chemicals Co.,Ltd",N-Boc-N-Methylethylenediamine,121492-06-6,17191
5441,Cenik Chemicals,N-Bromsuccinimid,128-08-5,26063
5442,Bortech,n-Butanol,71-36-3,60381
5443,Cenik Chemicals,n-Butanol,71-36-3,26063
5444,Count Energy Distribution Ltd,n-Butanol,71-36-3,102
5445,Mikro Teknik Kimyevi Maddeler Lab. Malz. Cihazları San. ve Tic. Ltd Sti.,n-Butanol,71-36-3,19413
5446,Ravago Chemicals Austria GmbH,n-Butanol,71-36-3,18682
5447,solvadis distribution gmbh,n-Butanol,71-36-3,11397
5448,"Attilio Carmagnani ""AC""S.p.A.",n-Butyl Acetate,123-86-4,61170
5449,Count Energy Distribution Ltd,n-Butyl Acetate,123-86-4,102
5450,Günkem Gündüz Kimyevi Maddeler İthalat Sanayi ve Ticaret A.Ş.,n-Butyl Acetate,123-86-4,17493
5451,Mikro Teknik Kimyevi Maddeler Lab. Malz. Cihazları San. ve Tic. Ltd Sti.,n-Butyl Acetate,123-86-4,19413
5452,Morkim Kimya,n-Butyl Acetate,123-86-4,60927
5453,NOVİNİ KİMYA LİMİTED ŞİRKETİ,n-Butyl Acetate,123-86-4,62443
5454,Ravago Chemicals Austria GmbH,n-Butyl Acetate,123-86-4,18682
5455,solvadis distribution gmbh,n-Butyl Acetate,123-86-4,11397
5456,"ZÜLFİKARLAR HOLDİNG, AKÇA KİMYA",n-Butyl Acetate,123-86-4,22588
5457,Cenik Chemicals,N-Butylbenzenesulfonamide,3622-84-2,26063
5458,Cenik Chemicals,N-Butylphthalimide,1515-72-6,26063
5459,Cenik Chemicals,N-carboxymethyliminobis(ethylenenitrilo)tetra(acetic Acid),67-43-6,26063
5460,S. Goldmann GmbH & Co. KG,N-carboxymethyliminobis(ethylenenitrilo)tetra(acetic Acid),67-43-6,61702
5461,Cenik Chemicals,n-Cetyl Bromide,112-82-3,26063
5462,"Zhejiang ZETian Fine Chemicals Co.,Ltd",N-(Chloracetyl)Methanesulfonamide,202658-88-6,17191
5463,Cenik Chemicals,N-Chlorosuccinimide,128-09-6,26063
5464,widmann solutions GmbH,N-Cyclohexylbenzothiazole-2-sulfenamide,95-33-0,11682
5465,Cenik Chemicals,N-Cyclohexylisopropylamin,1195-42-2,26063
5466,"Zhejiang ZETian Fine Chemicals Co.,Ltd",N-Cyclohexylmaleimide,1631-25-0,17191
5467,Cenik Chemicals,N-Cyclohexyl-N-methylcyclohexylamine,7560-83-0,26063
5468,widmann solutions GmbH,N-(Cyclohexylthio)phthalimide,17796-82-6,11682
5469,Cenik Chemicals,NDC,840-65-3,26063
5470,Cenik Chemicals,n-Dodecyltriethoxysilane,18536-91-9,26063
5471,Günkem Gündüz Kimyevi Maddeler İthalat Sanayi ve Ticaret A.Ş.,Neodecanoic Acid,26896-20-8,17493
5472,Cenik Chemicals,Neodymtrichlorid,10024-93-8,26063
5473,Cenik Chemicals,Neomycin Sulfate,1405-10-3,26063
5474,Cenik Chemicals,Neopentyl Glycol,126-30-7,26063
5475,Count Energy Distribution Ltd,Neopentyl Glycol,126-30-7,102
5476,INFINIUM PHARMACHEM LIMITED,Neopentyl Iodide,15501-33-4,734
5477,Cenik Chemicals,Neroline Yara Yara,93-04-9,26063
5478,Cenik Chemicals,N-Ethyl-2-(isopropyl)-5-methylcyclohexanecarboxamide,39711-79-0,26063
5479,Cenik Chemicals,N-Ethyl-2-Propanamine,19961-27-4,26063
5480,Cenik Chemicals,N-Ethyl-2-Propynamide,2682-33-9,26063
5481,Cenik Chemicals,N-Ethyl-4-toluenesulphonamide,8047-99-2,26063
5482,Cenik Chemicals,N-Ethylbenzylamin,14321-27-8,26063
5483,Cenik Chemicals,N-Ethylethylenediamine,110-72-5,26063
5484,Cenik Chemicals,N-Ethylmethylamine,624-78-2,26063
5485,Cenik Chemicals,N-Ethyl-N-(2-hydroxyethyl)-m-toluidine,91-88-3,26063
5486,"Zhejiang ZETian Fine Chemicals Co.,Ltd",(+)-N-Ethyl-N-methyl-3-[1-(dimethylamino)ethyl]phenylcarbamate,123441-03-2,17191
5487,Cenik Chemicals,(+)-N-Ethyl-N-methyl-3-[1 (dimethylamino)ethyl]phenylcarbamate tartrate acid,129101-54-8,26063
5488,Cenik Chemicals,N-Ethyl-P-Toluenesulfonamide,80-39-7,26063
5489,Cenik Chemicals,N-Ethyl-Ss-Alaninenitrile,21539-47-9,26063
5490,"Zhejiang ZETian Fine Chemicals Co.,Ltd",Neticonazole,130726-68-0,17191
5491,"Zhejiang ZETian Fine Chemicals Co.,Ltd",Neticonazole Hydrochloride,130773-02-3,17191
5492,"Zhejiang ZETian Fine Chemicals Co.,Ltd",Netobimin,88255-01-0,17191
5493,"Zhejiang ZETian Fine Chemicals Co.,Ltd",N-Fmoc-4-[2-(Boc-Amino)Ethoxy]-L-Phenylalanine,1013883-02-7,17191
5494,"Zhejiang ZETian Fine Chemicals Co.,Ltd",N-Fmoc-7-Methyl-L-Tryptophan,1808268-53-2,17191
5495,"Attilio Carmagnani ""AC""S.p.A.",n-Heptane,142-82-5,61170
5496,Cenik Chemicals,n-Heptane,142-82-5,26063
5497,Chemist EU,n-Heptane,142-82-5,60558
5498,S. Goldmann GmbH & Co. KG,n-Heptane,142-82-5,61702
5499,solvadis distribution gmbh,n-Heptane,142-82-5,11397
5500,Cenik Chemicals,"N-Hydroxy-5-Norbornene-2,3-Dicarboxylimide",21715-90-2,26063
5501,"Zhejiang ZETian Fine Chemicals Co.,Ltd",N-Hydroxyphthalimide,524-38-9,17191
5502,Cenik Chemicals,N-Hydroxysuccinimide,6066-82-6,26063
5503,Cenik Chemicals,N-Hydroxysuccinimido Biotin,35013-72-0,26063
5504,Perchemicals Kimya Dis Ticaret Ltd Sti,Nickel,7440-02-0,60022
5505,S. Goldmann GmbH & Co. KG,Nickel,7440-02-0,61702
5506,Nickelhütte Aue GmbH,Nickel Dichloride,7791-20-0,39554
5507,Nickelhütte Aue GmbH,Nickel Dinitrate Hexahydrate,13478-00-7,39554
5508,S. Goldmann GmbH & Co. KG,Nickel disodium ethylendiaminetetraacetate,15708-55-1,61702
5509,S. Goldmann GmbH & Co. KG,Nickel(II) carbonate basic hydrate,12607-70-4,61702
5510,INFINIUM PHARMACHEM LIMITED,Nickel Iodide Anhydrous,13462-90-3,734
5511,Nickelhütte Aue GmbH,Nickel Sulfate Hexahydrate,10101-97-0,39554
5512,Cellco Chemicals S.A.,Nicotinamide,98-92-0,33449
5513,Cenik Chemicals,Nicotinamide,98-92-0,26063
5514,BIO-PHARMA LABORATORIES PVT LTD,Nicotine,54-11-5,60281
5515,Cenik Chemicals,Nicotine,54-11-5,26063
5516,Nico Orgo,Nicotine,54-11-5,60646
5517,Cenik Chemicals,Nicotinic Acid,59-67-6,26063
5518,"Zhejiang ZETian Fine Chemicals Co.,Ltd",Nicotinoyl Chloride Hydrochloride,20060-53-1,17191
5519,Cenik Chemicals,Ninhydrin,485-47-2,26063
5520,"Zhejiang ZETian Fine Chemicals Co.,Ltd",Nintedanib Esylate、Bibf-1120,928326-83-4,17191
5521,"Zhejiang ZETian Fine Chemicals Co.,Ltd",Nintedanib Ethanesulfonate Salt,656247-18-6,17191
5522,Cenik Chemicals,N-Iodosuccinimide,516-12-1,26063
5523,INFINIUM PHARMACHEM LIMITED,N-Iodosuccinimide,516-12-1,734
5524,Cenik Chemicals,N-Isopropyl-4-Fluoroaniline,70441-63-3,26063
5525,"Zhejiang ZETian Fine Chemicals Co.,Ltd",N-Isopropyl-4-Fluoroaniline,70441-63-3,17191
5526,Cenik Chemicals,N-Isopropylhydroxylamine,5080-22-8,26063
5527,"Zhejiang ZETian Fine Chemicals Co.,Ltd",N-Isopropylhydroxylamine,5080-22-8,17191
5528,widmann solutions GmbH,N-Isopropyl-N'-phenyl-p-phenylenediamine,101-72-4,11682
5529,BG AGROCHEM COMPANY LIMITED,Nitric Acid,7697-37-2,60683
5530,Bilgram Chemie GmbH,Nitric Acid,7697-37-2,61442
5531,Grüssing GmbH,Nitric Acid,7697-37-2,61427
