company_mart.name,company_mart.deleted_week,company_mart.registration_week
deleted_Hutzel Hydrokulturen Gmbh,2020-08-31,2019-02-11
deleted_Rubberchem (Pty) Ltd,2020-08-31,2019-02-11
Dr. Felix Jäger Chemikalienhandel,,2019-02-11
deleted_Lht-Jaroc,2020-08-31,2019-02-11
Novaphos Srl,,2019-02-11
Brenntag GmbH,,2019-02-11
deleted_Industrias Titan,2020-08-31,2019-02-11
deleted_Afford Industrial,2020-08-31,2019-02-11
deleted_Vipap Videm Krško,2020-08-31,2019-02-11
Icar,,2019-02-11
Scharlab. Sl,,2019-02-18
deleted_Vinavil,2020-08-31,2019-02-18
deleted_40,2020-08-31,2019-02-18
deleted_Basil Commodities Private Limited,2020-08-31,2019-02-18
Sti Chemsampler Sp. Z O.O. Sp. K,,2019-02-18
deleted_Gc Chemie Pharmie Ltd. - Gccpl,2020-08-31,2019-02-18
Northumbria Pharma,,2019-02-18
deleted_Cnt Lab Srl,2020-08-31,2019-02-18
Golden Chemicals Pvt Ltd,,2019-02-18
deleted_Jz Lekarna Ljubljana,2020-08-31,2019-02-18
Ok Gummiwerk Otto Körting Gmbh,,2019-02-18
"deleted_Shenzhen Jymedtech Co,Ltd.",2020-08-31,2019-02-18
deleted_Cnt Agro Srl,2022-08-01,2019-02-18
deleted_Ajc S.L.,2020-08-31,2019-02-18
Kemi Spa,,2019-02-18
Zetc Global Business Gmbh & Co. Kg,,2019-02-18
Ivm Chemicals Srl,,2019-02-18
Salus Cutis Italia Srl,,2019-02-18
Clusternanotech Ltd,,2019-02-18
Dipharma Francis S.R.L.,,2019-02-18
deleted_Rachel,2020-08-31,2019-02-18
deleted_Budgetchemicals,2020-08-31,2019-02-18
Delete -,2019-11-04,2019-02-18
deleted_Optimous Ltd,2020-08-31,2019-02-18
deleted_Vincent Inco,2020-08-31,2019-02-18
Sc Cirast Srl,,2019-02-18
.Delete,2019-11-04,2019-02-18
deleted_Nomané Estetiska Kliniken,2020-08-31,2019-02-18
Eigenmann & Veronelli,,2019-02-18
Amkor Technology Portugal Sa,,2019-02-25
Aolox Gmbh,,2019-02-25
Atep - Amkor Technology Portugal S.A.,,2019-02-25
Geomet S.R.O.,,2019-02-25
Avo Carbon,,2019-02-25
deleted_Aalto University,2020-08-31,2019-02-25
Alpas Srl,,2019-02-25
Sonotecc Oy,,2019-02-25
Enprom Packaging Sl,,2019-02-25
"deleted_Smooth Bio Chemical Co.,Ltd",2020-08-31,2019-02-25
deleted_Mignon Limited,2020-08-31,2019-02-25
Mein Gartengemüse Gmbh,,2019-02-25
"Radka S.R.O., Pardubice",,2019-02-25
Industria Jabonera Lina Sau,,2019-02-25
deleted_Hull Serviced Apartments,2020-08-31,2019-02-25
Novachem Aromatici,,2019-02-25
Thermhex Waben Gmbh,,2019-02-25
Freudenberg Sealing Technologies Gmbh & Co. Kg,,2019-02-25
deleted_God'S Firma,2020-08-31,2019-02-25
South Staffs Water,,2019-02-25
Frescura & C. S.A.S.,,2019-02-25
Lilachem Ltd,,2019-02-25
Quimidroga S.A.,,2019-02-25
deleted_Uhb Global Ltd,2020-08-31,2019-02-25
Erich Slupetzky Gesmbh,,2019-02-25
deleted_Sadia Ltd,2020-08-31,2019-02-25
Prime Trading Di Ur Rehman Zaman,,2019-02-25
deleted_Arnaout,2020-08-31,2019-03-04
Emexon International,,2019-03-04
deleted_Raitums Ab,2020-08-31,2019-03-04
deleted_Mr Paul Wilson,2020-08-31,2019-03-04
deleted_Confoam Llc,2020-08-31,2019-03-04
deleted_Echo Chemical,2020-08-31,2019-03-04
deleted_Chementors,2020-08-31,2019-03-04
Fasttrackchemicals,,2019-03-04
deleted_Pm & Partner Marketing Consulting Gmbh,2020-08-31,2019-03-04
deleted_Arco Srl,2022-06-06,2019-03-04
Sample Bratislava S.R.O.,,2019-03-04
deleted_Havana,2020-08-31,2019-03-04
deleted_Sterling Auxiliaries Pvt Ltd,2020-08-31,2019-03-04
deleted_Royan,2020-08-31,2019-03-04
deleted_Szíriusz Natural Kft.,2020-08-31,2019-03-04
Silo Spa,,2019-03-04
Akzonobel,,2019-03-04
Domo Chemicals Gmbh,,2019-03-04
Dr.Lauranne Srl,,2019-03-04
deleted_Chez Georges,2020-08-31,2019-03-04
deleted_John Blue & Co.,2020-08-31,2019-03-11
INFINIUM PHARMACHEM LIMITED,,2019-03-11
H. Bettermann Waffen Und Zubehör,,2019-03-11
Azelis France Sas,,2019-03-11
Tillmanns Spa,,2019-03-11
"Eco Carburante Y Motor, Sl",,2019-03-11
Delete,2019-11-04,2019-03-11
delete Azelis France,2019-11-04,2019-03-11
Gunbroker.Pl,,2019-03-11
deleted_Robsons Cheese,2020-08-31,2019-03-11
Buildingbox Ltd,,2019-03-11
Johnson Matthey,,2019-03-11
deleted_Noch Nicht Angemeldet,2020-08-31,2019-03-11
Cotac Europe Gmbh,,2019-03-11
Aldebaran Sistemas S.L,,2019-03-11
Innocent International Gmbh,,2019-03-11
deleted_Zageno,2020-08-31,2019-03-11
deleted_Mj Photography,2020-08-31,2019-03-11
Borealis AG,,2019-03-11
Abamed Hansjörg Nowak Gmbh & Co. Kg,,2019-03-11
deleted_Asd,2020-08-31,2019-03-11
Crc Industries Iberia,,2019-03-11
deleted_Ex Enterprise,2020-08-31,2019-03-11
