,Spieler,Tore,Torvorlage,Progressive Pässe,Rückpässe,seitliche Pässe,lange Pässe,kurze Pässe,Dribbeln,Grätschen,Abfangen,Zweikämpfe,Blocks,Schüsse,Ballberührungen im 16er,erlittene Fouls,Flanken,clevere Pässe,Progressive Läufe,Besschleunigungen,erhaltene Pässe,Angriffsläufe,Fouls,Kmeans_4_clusters,Kmeans_8_clusters,k_medions_4_clusters,k_medions_8_clusters,Hierarchical_clustering_4_clusters,Hierarchical_clustering_8_clusters
1146,R. Ghezzal,-0.113131078305435,-0.762182559982416,-0.116724988285476,1.21568727200767,0.642980779945439,0.26183580725015,0.699143968505151,0.851325508135571,1.26071355638345,0.00031051505946212,0.704072219763624,-0.529523067304247,-0.111542099482885,0.449223392588075,0.740197732843826,0.675975216159151,-0.0658504274249468,0.89295682715138,0.710179678930398,0.802752235114075,0.522730844713686,1.43479005609837,1,5,0,0,2,2
1147,A. Conti,-0.73396643282216,0.292207136797505,1.03763977278422,0.0865017397961492,0.227481938411089,0.992907334934052,0.550763771675193,-0.983995475884528,0.387909681779865,0.908057825186546,-0.284940414857177,0.53281456831815,-1.59143872597059,-0.846783664376439,-0.0441751506046447,0.208555712485883,-0.603969539320054,0.0851635311365494,-0.305540815417272,0.706353825574085,-0.389467186508581,1.12201510712767,1,0,2,4,2,1
1148,Rogério,-0.23729814920878,0.0813291974415209,0.867678304363521,0.594879836329509,0.814402858309324,0.298790658033857,0.906092925131273,0.140310317060168,-0.560907308345084,1.17417683074526,-0.614634857663895,-0.19744165194304,-0.316754253985655,-0.259645456282629,0.521615994821168,1.46581086465837,-0.227616046728838,0.860782478416099,0.547374165142906,1.09943562983165,0.252115707344281,0.578017904387788,1,3,0,5,2,1
1149,O. Aina,-0.73396643282216,0.503085076153489,0.461543887867405,0.588775913343492,-0.222848595752038,0.252484148732309,0.180188606405688,0.921284841954516,0.0426290066018609,1.02649956466729,0.336816460336703,0.115337533843699,-0.873573658985,-0.365777574675083,0.561283391797268,0.935989098192953,-0.105468253792262,1.69912154141553,0.77705337841362,0.203767258487361,0.137314652976005,-0.304130845871522,1,3,0,5,2,1
1150,M. Svanberg,-0.23729814920878,0.0813291974415209,-0.344008909555958,0.134545222197981,-0.215935530022328,-0.947320292396905,-0.177982547496773,0.38977772798822,0.0667071489116096,-0.543771355581001,-0.0414283799997883,0.0717522286347766,1.63119588952549,0.575695731604649,1.41104956022013,-0.547236731596217,0.569047313651385,0.243340657763897,-0.0846020593769818,0.00826200444347061,0.156728454463606,0.561810828222242,0,5,0,0,2,2
1151,Hernani,-0.73396643282216,1.03027992454345,-0.123926681998891,0.238522449650985,0.060608597812433,0.606544805654962,-0.215737442267906,0.0139476579002459,1.34581607450841,0.836802372798319,0.301727525277777,0.844945814798253,0.276866092416228,-0.499126446352339,-0.750741483532094,0.0692550120360439,-0.465593397463942,0.0191294299547698,0.0913582198756809,-0.293656344389088,-0.211551976588761,0.904171047771647,1,0,0,3,2,1
1152,A. Skov Olsen,-0.0510475428537635,-0.762182559982416,-0.356245445049403,1.59516945190328,-0.0190089431020524,-0.200358728034308,0.076522807959534,1.71025639155308,-0.00601590738136706,-0.137056352503645,0.646655705752659,-1.04255448886152,1.11808452734755,0.993108782049792,0.301384546437117,1.63801215803723,0.708513435361796,1.23014592049472,0.559334721497877,0.198720163402617,-0.189973998891956,0.169907795327603,2,6,1,1,1,0
1153,Marlon,-0.73396643282216,-0.762182559982416,1.61098760932354,-1.63434719260613,1.8014537346257,0.266494501915735,1.76024382274904,-1.85720541140696,0.409792234601732,1.21681435672277,-1.82218619267082,0.651994841684395,-1.30017177881279,-1.43425135130848,-0.912769616318771,-1.48164143782397,-0.774060929303084,-0.165523230125596,-1.08144843164862,1.62876596793743,-1.30579378918371,-0.107798106006592,3,7,2,7,0,5
1154,M. Fares,-0.73396643282216,-0.762182559982416,0.564952181175278,-0.0673575524044111,-0.185121397766493,0.106412736021283,0.0284786870491726,0.484378269135413,0.496015970257566,0.0952282117865014,0.264525897849372,1.45361246896477,0.242915341710199,-0.784372116002717,0.467954258274986,1.15523581584807,0.455825835544026,-0.70798442442896,0.474475104788967,0.478181718415538,-1.58937268517485,1.00729365141759,1,3,0,3,2,1
1155,A. Sanabria,1.50104084343804,0.503085076153489,-1.6776322466396,-0.0673575524044111,-0.839155376453378,-1.25168317322067,-1.03608292405209,0.211957982809837,0.559354886292954,-1.24985934637401,0.726164660742718,-0.728907186665612,1.40574504629144,1.282167057148,0.801760405038928,-0.433364373348214,-0.627676363550419,-0.455962187021708,0.571242471692592,-0.944198278933772,0.0981400259335197,0.396063851613476,0,1,1,6,3,3
