,Spieler,Tore,Torvorlage,Progressive Pässe,Rückpässe,seitliche Pässe,lange Pässe,kurze Pässe,Dribbeln,Grätschen,Abfangen,Zweikämpfe,Blocks,Schüsse,Ballberührungen im 16er,erlittene Fouls,Flanken,clevere Pässe,Progressive Läufe,Besschleunigungen,erhaltene Pässe,Angriffsläufe,Fouls,Kmeans_4_clusters,Kmeans_8_clusters,k_medions_4_clusters,k_medions_8_clusters,Hierarchical_clustering_4_clusters,Hierarchical_clustering_8_clusters
78,S. Lainer,-0.547715826,-0.129548742,0.75919812,0.174492583,-0.008103274,1.024440855,0.022994592,0.105840965,0.879536381,0.677331407,-0.223572282,-0.243645848,-0.701412871,-0.106188471,-0.240355399,1.514333314,0.439290869,0.892956827,0.863714682,0.362010013,0.591288112,0.097697661,3,4,3,2,0,6
79,D. Samassékou,-0.733966433,-0.129548742,0.145781992,0.664030333,-0.014327743,-0.096274671,0.303533338,-1.021536057,1.066089464,1.124949085,-0.385276109,0.957481393,-0.89146149,-1.046956816,-0.485445507,-1.039642434,0.197513814,-1.781804211,-1.170616918,-0.074686461,-0.505755959,0.097697661,3,1,0,0,0,4
80,M. Grujic,0.135203064,-0.340426681,0.225090187,0.170887112,0.220571281,-0.06834248,0.25265531,-0.288651894,-0.080238513,0.51810864,0.512482037,0.286233023,0.220022138,-0.488539346,-0.173624935,-0.95067334,-0.085592867,-0.72271959,-0.890985718,-0.081340009,-0.105049807,1.613968866,3,1,0,4,0,0
81,P. Lienhart,-0.733966433,-0.76218256,0.825049093,-0.679611726,1.300782172,1.119008208,0.738096686,-1.588124651,0.018388721,0.449899025,-1.67568939,1.813687798,-1.19661577,-1.285826918,0.301384546,-1.148957366,-1.118570728,-0.153594773,0.38685855,0.633030901,-1.016956748,-1.973983652,0,5,2,6,2,2
82,W. Orban,-0.113131078,-0.76218256,1.588322629,-1.597633912,1.154119108,0.826912728,1.195014704,-1.389832856,-0.006015907,0.995876197,-0.299405898,-0.061162075,-0.556012036,-0.457118047,0.034165202,-1.481641438,-1.262574105,-1.373198344,-1.639786563,0.872786716,-1.275742167,-1.514635278,0,5,2,6,2,2
83,D. Klaassen,0.507704276,0.503085076,0.185862511,0.093953049,0.068098406,0.205025619,0.116102839,-0.841420777,0.642109539,0.562558994,-0.939229271,0.994476424,0.265600422,-0.088902382,-0.274246551,-0.204424012,0.030928202,-1.411318144,-0.890985718,-0.184535624,0.707930241,-0.553050041,3,1,0,4,0,4
84,S. Posch,-0.733966433,-0.76218256,1.196775254,-0.561013009,0.878035197,1.546491739,0.803381364,-0.974735137,1.412478514,1.291757928,0.154313999,2.383983119,-0.389088063,-0.735840047,-0.672686032,-0.784264895,-0.186335881,-0.377049662,-0.79071019,0.888408732,-0.458746162,0.412947634,0,5,2,6,2,2
85,D. Geiger,-0.733966433,0.819401985,-0.127538106,1.16517279,0.452873435,-0.4139466,0.513181592,-0.902369553,1.976793137,-1.575900884,-0.653130636,0.027811121,-0.021261494,-0.436447851,0.095493336,-0.582763895,-0.488210242,-0.767426959,-0.256649428,0.48041619,-0.042764733,1.342132579,3,1,0,0,0,0
86,R. Vargas,0.507704276,-0.445865651,-0.626851304,-0.466281846,-1.391124094,-0.58054559,-1.180537329,0.997522711,-0.889736261,-0.398836349,0.333322363,-0.678364507,1.00314716,0.870667748,0.243889632,-0.204424012,0.268637346,0.736496986,1.471944101,-1.22923962,0.434975516,0.223231558,1,3,1,1,1,5
87,F. Uduokhai,-0.733966433,-0.76218256,0.678108668,-1.219362953,0.553717899,1.043113772,0.162472437,-1.169974144,0.782504392,0.908057825,-0.357834637,2.552207929,-1.321408857,-1.238756802,-0.731049498,-1.406632191,-1.262574105,-1.549263924,-1.216331589,-0.288439515,-1.305793789,-1.434028089,0,7,2,6,2,2
