,Date,Time,Open,High,Low,Last,ATR,FractalSell,FractalWk,OpenTrade,StopLoss,TakeProfit,Close Trade,OpenTradeNew,StoplossNew,TakeProfitNew,CloseTradeNew
80, '2009/6/15', '00:00:00.0',1.64371,1.65621,1.61876,1.64982,0.06292,0.0,1.43893,1.59805,1.43893,1.9162899999999998,0.0,1.59805,1.43893,1.9162899999999998,0.0
81, '2009/6/22', '00:00:00.0',1.65094,1.6603,1.6209,1.65244,0.06192,0.0,1.43893,1.59805,1.43893,1.9162899999999998,0.0,1.59805,1.43893,1.9162899999999998,0.0
82, '2009/6/29', '00:00:00.0',1.65263,1.67453,1.6302,1.6323,0.0603,0.0,1.43893,1.59805,1.43893,1.9162899999999998,0.0,1.59805,1.43893,1.9162899999999998,0.0
83, '2009/7/6', '00:00:00.0',1.63232,1.63806,1.59839,1.62057,0.06016,1.5976,1.5976,1.59805,1.43893,1.9162899999999998,0.0,1.59805,1.43893,1.9162899999999998,0.0
84, '2009/7/13', '00:00:00.0',1.62048,1.64805,1.60334,1.63383,0.05862,0.0,1.5976,1.59805,1.5976,1.9162899999999998,0.0,1.59805,1.5976,1.9162899999999998,0.0
85, '2009/7/20', '00:00:00.0',1.6324,1.65865,1.6311,1.64299,0.05815,0.0,1.5976,1.59805,1.5976,1.9162899999999998,0.0,1.59805,1.5976,1.9162899999999998,0.0
86, '2009/7/27', '00:00:00.0',1.64711,1.67337,1.6339,1.67015,0.05807,0.0,1.5976,1.59805,1.5976,1.9162899999999998,0.0,1.59805,1.5976,1.9162899999999998,0.0
87, '2009/8/3', '00:00:00.0',1.67196,1.7043,1.66511,1.66809,0.05623,0.0,1.5976,1.59805,1.5976,1.9162899999999998,0.0,1.59805,1.5976,1.9162899999999998,0.0
88, '2009/8/10', '00:00:00.0',1.66745,1.67199,1.63908,1.65332,0.05502,0.0,1.5976,1.59805,1.5976,1.9162899999999998,0.0,1.59805,1.5976,1.9162899999999998,0.0
89, '2009/8/17', '00:00:00.0',1.6502,1.66251,1.6276,1.64955,0.05149,0.0,1.5976,1.59805,1.5976,1.9162899999999998,0.0,1.59805,1.5976,1.9162899999999998,0.0
90, '2009/8/24', '00:00:00.0',1.65034,1.65465,1.61535,1.62769,0.04948,0.0,1.5976,1.59805,1.5976,1.9162899999999998,0.0,1.59805,1.5976,1.9162899999999998,0.0
91, '2009/8/31', '00:00:00.0',1.627,1.64141,1.6113,1.63969,0.04784,0.0,1.5976,1.59805,1.5976,1.9162899999999998,0.0,1.59805,1.5976,1.9162899999999998,0.0
92, '2009/9/7', '00:00:00.0',1.63925,1.67423,1.6323,1.66729,0.04641,0.0,1.5976,1.59805,1.5976,1.9162899999999998,0.0,1.59805,1.5976,1.9162899999999998,0.0
93, '2009/9/14', '00:00:00.0',1.668,1.66909,1.62308,1.6234,0.04665,0.0,1.5976,1.59805,1.5976,1.9162899999999998,0.0,1.59805,1.5976,1.9162899999999998,0.0
94, '2009/9/21', '00:00:00.0',1.62256,1.64684,1.59154,1.59338,0.04666,0.0,1.5976,1.59805,1.5976,1.9162899999999998,-0.00045000000000006146,1.59805,1.5976,1.9162899999999998,-0.00045000000000006146
95, '2009/9/28', '00:00:00.0',1.59675,1.61266,1.57701,1.59169,0.04665,0.0,1.5976,1.59675,1.5976,1.5950499999999999,0.0008500000000000174,1.59675,1.5976,1.5950499999999999,0.0008500000000000174
96, '2009/10/5', '00:00:00.0',1.59446,1.6121,1.58259,1.58425,0.04588,0.0,1.5976,1.59446,1.5976,1.5881800000000001,0.0031399999999999206,1.59446,1.5976,1.5881800000000001,0.0031399999999999206
97, '2009/10/12', '00:00:00.0',1.58384,1.64,1.57078,1.63577,0.04568,1.5694,1.5694,1.58384,1.5694,1.61272,0.028880000000000017,1.58384,1.5694,1.61272,0.028880000000000017
98, '2009/10/19', '00:00:00.0',1.62852,1.66944,1.62406,1.6308,0.04549,0.0,1.5694,1.62852,1.5694,1.74676,0.0,1.62852,1.5694,1.74676,0.0
99, '2009/10/26', '00:00:00.0',1.6292,1.66044,1.6252,1.64129,0.04421,0.0,1.5694,1.62852,1.5694,1.74676,0.0,1.62852,1.5694,1.74676,0.0
100, '2009/11/2', '00:00:00.0',1.64049,1.66367,1.62612,1.66098,0.0442,0.0,1.5694,1.62852,1.5694,1.74676,0.0,1.62852,1.5694,1.74676,0.0
101, '2009/11/9', '00:00:00.0',1.66668,1.68433,1.65154,1.66944,0.04375,0.0,1.5694,1.62852,1.5694,1.74676,0.0,1.62852,1.5694,1.74676,0.0
102, '2009/11/16', '00:00:00.0',1.67012,1.68784,1.64609,1.65132,0.04375,0.0,1.5694,1.62852,1.5694,1.74676,0.0,1.62852,1.5694,1.74676,0.0
103, '2009/11/23', '00:00:00.0',1.65021,1.67464,1.62718,1.64721,0.04389,0.0,1.5694,1.62852,1.5694,1.74676,0.0,1.62852,1.5694,1.74676,0.0
104, '2009/11/30', '00:00:00.0',1.65071,1.67224,1.63807,1.64473,0.04365,0.0,1.5694,1.62852,1.5694,1.74676,0.0,1.62852,1.5694,1.74676,0.0
105, '2009/12/7', '00:00:00.0',1.64275,1.65165,1.61674,1.62436,0.04384,0.0,1.5694,1.62852,1.5694,1.74676,0.0,1.62852,1.5694,1.74676,0.0
106, '2009/12/14', '00:00:00.0',1.6251,1.64118,1.60526,1.61401,0.04228,0.0,1.5694,1.62852,1.5694,1.74676,0.0,1.62852,1.5694,1.74676,0.0
107, '2009/12/21', '00:00:00.0',1.61189,1.61656,1.59218,1.59411,0.04168,0.0,1.5694,1.62852,1.5694,1.74676,0.0,1.62852,1.5694,1.74676,0.0
108, '2009/12/28', '00:00:00.0',1.59866,1.62368,1.58324,1.61645,0.04062,1.58243,1.58243,1.62852,1.5694,1.74676,0.0,1.62852,1.5694,1.74676,0.0
109, '2010/1/4', '00:00:00.0',1.61101,1.62422,1.58967,1.60269,0.03904,0.0,1.58243,1.62852,1.58243,1.74676,0.0,1.62852,1.58243,1.74676,0.0
110, '2010/1/11', '00:00:00.0',1.607,1.63567,1.60473,1.62584,0.03889,0.0,1.58243,1.62852,1.58243,1.74676,0.0,1.62852,1.58243,1.74676,0.0
111, '2010/1/18', '00:00:00.0',1.62626,1.64583,1.60772,1.61352,0.03885,0.0,1.58243,1.62852,1.58243,1.74676,0.0,1.62852,1.58243,1.74676,0.0
112, '2010/1/25', '00:00:00.0',1.61035,1.62765,1.59827,1.59838,0.03835,0.0,1.58243,1.62852,1.58243,1.74676,0.0,1.62852,1.58243,1.74676,0.0
113, '2010/2/1', '00:00:00.0',1.59469,1.60697,1.55586,1.56298,0.03873,0.0,1.58243,1.62852,1.58243,1.74676,-0.046089999999999964,1.62852,1.58243,1.74676,-0.046089999999999964
114, '2010/2/8', '00:00:00.0',1.55916,1.57653,1.55345,1.56723,0.03801,0.0,1.58243,1.55916,1.58243,1.5126200000000003,0.023269999999999902,1.55916,1.58243,1.5126200000000003,0.023269999999999902
115, '2010/2/15', '00:00:00.0',1.56833,1.58163,1.53466,1.54546,0.03866,0.0,1.58243,1.56833,1.58243,1.54013,0.014100000000000001,1.56833,1.58243,1.54013,0.014100000000000001
116, '2010/2/22', '00:00:00.0',1.54767,1.5576,1.51523,1.52501,0.03875,0.0,1.58243,1.54767,1.58243,1.4781500000000003,0.0347599999999999,1.54767,1.58243,1.4781500000000003,0.0347599999999999
117, '2010/3/1', '00:00:00.0',1.51567,1.52045,1.47838,1.51464,0.039,1.47754,1.47754,1.51567,1.47754,1.59193,0.0,1.51567,1.47754,1.59193,0.0
118, '2010/3/8', '00:00:00.0',1.51338,1.52178,1.48727,1.51865,0.03905,0.0,1.47754,1.51567,1.47754,1.59193,0.0,1.51567,1.47754,1.59193,0.0
119, '2010/3/15', '00:00:00.0',1.5172,1.53821,1.49779,1.50198,0.03924,0.0,1.47754,1.51567,1.47754,1.59193,0.0,1.51567,1.47754,1.59193,0.0
120, '2010/3/22', '00:00:00.0',1.50236,1.51127,1.47988,1.49021,0.03897,1.47925,1.47925,1.51567,1.47754,1.59193,0.0,1.51567,1.47754,1.59193,0.0
121, '2010/3/29', '00:00:00.0',1.49205,1.5299,1.48923,1.52055,0.03933,0.0,1.47925,1.51567,1.47925,1.59193,0.0,1.51567,1.47925,1.59193,0.0
