#,product_name,company_name,substance_name,cas_number,company_id
146,"1,1-Dichloro-2,2,3,3,3-pentafluoropropane",Cenik Chemicals,"1,1-dichloro-2,2,3,3,3-pentafluoropropane",422-56-0,26063
147,"1,1-DICHLOROPINACOLIN",Cenik Chemicals,"1,1-dichloro-3,3-dimethylbutan-2-one",22591-21-5,26063
148,"1,1-Dichlorosilacyclobutane",Chemical Point Italia s.r.l,"1,1-dichlorosilacyclobutane",2351-33-9,55523
149,"1,1-Dicyano-2-methoxy-2-(4-phenoxyphenyl)ethene","Zhejiang ZETian Fine Chemicals Co.,Ltd","1,1-Dicyano-2-Methoxy-2-(4-Phenoxyphenyl)Ethene",330792-69-3,17191
150,"1,1-Diethoxy-3-methyl-2-butene",Chemical Point Italia s.r.l,"1,1-Diethoxy-3-methyl-2-butene",1740-74-5,55523
151,"1,1'-Diethyl-3,3,3',3'-tetramethylindocarbocyanine",Chemical Point Italia s.r.l,"1,1'-Diethyl-3,3,3',3'-tetramethylindocarbocyanine Iodide",14696-39-0,55523
152,"1,1´-Diethyl-4,4´-dicarbocyanine iodide",Chemical Point Italia s.r.l,"1,1'-Diethyl-4,4'-dicarbocyanine iodide",18300-31-7,55523
153,"1,1-Difluoroacetone",Cenik Chemicals,"1,1-Difluoroacetone",431-05-0,26063
154,"1,1´-Diheptyl-4,4´-bipyridinium dibromide",Chemical Point Italia s.r.l,"1,1'-diheptyl-4,4'-bipyridinium dibromide",6159-05-3,55523
155,"1,1-Diiodo-2,2-dimethylpropane",Chemical Point Italia s.r.l,"1,1-Diiodo-2,2-dimethylpropane",2443-89-2,55523
156,"1,1-Dimethoxyheptane",Chemical Point Italia s.r.l,"1,1-dimethoxyheptane",10032-05-0,55523
157,"1,1-Dimethoxyoctane",Chemical Point Italia s.r.l,Octacetal,10022-28-3,55523
158,"1,1-Dimethyl-3-phenylurea",Chemical Point Italia s.r.l,Fenuron,101-42-8,55523
159,"1,1'-Dimethylferrocene",Chemical Point Italia s.r.l,"1,1'-dimethylferrocene",1291-47-0,55523
160,"1,1-Dimethylguanidine hydrochloride",Chemical Point Italia s.r.l,"1,1-dimethylguanidinium sulphate",1186-46-5,55523
161,"1,1-Dimethyl-N-tert-octylallylamine",Chemical Point Italia s.r.l,"1,1-Dimethyl-N-tert-octylallylamine",263255-01-2,55523
162,"1,1-Dimethylpropargylamine",Chemical Point Italia s.r.l,"1,1-dimethylprop-3-ynylamine",2978-58-7,55523
163,"1,1-Dimethylsiletane",Chemical Point Italia s.r.l,"1,1-dimethylsilacyclobutane",2295-12-7,55523
164,"1,1´-Dioctadecyl-4,4´-bipyridinium diperchlorate",Chemical Point Italia s.r.l,"1,1'-Dioctadecyl-4,4'-bipyridinium diperchlorate",126192-46-9,55523
165,"1,1-Diphenyl-2,2,2-trichloroethane",Chemical Point Italia s.r.l,"1,1'-(2,2,2-trichloroethylidene)dibenzene",2971-22-4,55523
166,"1,1-Diphenyl-2-Propyn-1-Ol",Cenik Chemicals,"1,1-Diphenyl-2-propyn-1-ol",3923-52-2,26063
167,"1,1-Diphenyl-2-propyne-1-ol, Diphenylpropynol",Cenik Chemicals,"1,1-Diphenyl-2-propyn-1-ol",3923-52-2,26063
168,"1,1-DIPHENYLETHANOL","Zhejiang ZETian Fine Chemicals Co.,Ltd","1,1-Diphenylethanol",599-67-7,17191
169,"1,1´-Dithiobispiperidine",Chemical Point Italia s.r.l,"1,1'-Dithiobispiperidine",10220-20-9,55523
170,"1,1´-Ethylenebis(5-oxo-3-pyrrolidinecarboxylic aci",Chemical Point Italia s.r.l,"1,1'-(ethylene)bis[5-oxopyrrolidine-3-carboxylic] acid",2761-13-9,55523
171,"1,1´-Ferrocenediboronic acid",Chemical Point Italia s.r.l,"1,1'-Ferrocenediboronic Acid (contains varying amounts of Anhydride)",32841-83-1,55523
172,"1,1´-Ferrocenedicarboxaldehyde",Chemical Point Italia s.r.l,"1,1'-Ferrocenedicarboxaldehyde",1271-48-3,55523
173,"1,1´-Ferrocenedicarboxylic acid",Chemical Point Italia s.r.l,"1,1'-ferrocenedicarboxylic acid",1293-87-4,55523
174,11-Mercaptoundecanoic acid,"Zhejiang ZETian Fine Chemicals Co.,Ltd",11-Mercaptoundecanoic Acid,71310-21-9,17191
175,1-(1-Methyl-1H-iMidazol-2-yl)ethan-1-one,"Zhejiang ZETian Fine Chemicals Co.,Ltd",1-(1-Methyl-1H-Imidazol-2-Yl)Ethan-1-One,85692-37-1,17191
176,"1,1´-Methylene-di(2-naphthol)",Chemical Point Italia s.r.l,"1,1'-methylenebis(2-naphthol)",1096-84-0,55523
177,"1,1'-(Methylenedi-4,1-phenylene)bismaleimide",Chemical Point Italia s.r.l,"1,1'-(Methylenedi-p-phenylene)bismaleimide",13676-54-5,55523
178,1-(1-Naphthyl)ethylamine,Cenik Chemicals,1-(1-Naphthyl)Ethylamine,42882-31-5,26063
179,"1,1'-Oxalyldiimidazole",Chemical Point Italia s.r.l,"1,1'-Oxalyldiimidazole",18637-83-7,55523
180,"1,1'-P-ANISYLIDENEBIS(2-NAPHTHOL)",Cenik Chemicals,"1,1'-(4-METHOXYBENZYLIDENE)DI-2-NAPHTHOL",66595-89-9,26063
181,"1,1´-(Phenylimino)di-2-propanol",Chemical Point Italia s.r.l,"1,1'-phenyliminodipropan-2-ol",3077-13-2,55523
182,"1,1´-Thiocarbonyldi-2(1H)-pyridone",Chemical Point Italia s.r.l,"1,1'-THIOCARBONYLDI-2-(1H)-PYRIDONE",102368-13-8,55523
183,"1,1-Thiocarbonyldi-2(1H)-Pyridone",Cenik Chemicals,"1,1'-THIOCARBONYLDI-2-(1H)-PYRIDONE",102368-13-8,26063
184,"1,1'-Thiocarbonyldiimidazole",Cenik Chemicals,"1,1'-Thiocarbonylbis(imidazole)",6160-65-2,26063
185,"1-(2,1,3-benzothiadiazol-5-yl)ethanone",Cenik Chemicals,,,26063
186,"1,2,2,6,6-pentamethyl-4-piperidinol",Cenik Chemicals,"1,2,2,6,6-pentamethylpiperidin-4-ol",2403-89-6,26063
187,"1,2,2,6,6-Pentamethyl-4-piperidinol",Chemical Point Italia s.r.l,"1,2,2,6,6-pentamethylpiperidin-4-ol",2403-89-6,55523
188,1 2 2 6 6-PENTAMETHYL-4-PIPERIDONE 97,Cenik Chemicals,"1,2,2,6,6-Pentamethyl-4-piperidone",5554-54-1,26063
